Títulos,Nota,Sinopses,Temporada,Episódio,Franquia
"Face, Face, Face of Cakes",7.7,The queens look good enough to eat in this episode where they're challenged to find fashion inspiration from the world of cakes.,3,7,Drag Race
Ru Ha Ha,8.1,The queens perform stand-up comedy routines in front of a live studio audience.,3,8,Drag Race
"Life, Liberty & the Pursuit of Style",7.5,The queens create patriotic video messages for the troops.,3,9,Drag Race
RuPaul-a-Palooza,7.7,The dolls record a single and perform before a live audience.,3,10,Drag Race
RuPaul's Hair Extravaganza,8.0,The queens wig out when they have to compete in a fantasy hair show.,3,11,Drag Race
Jocks in Frocks,8.4,The queens must transform a group of All-American straight jocks into their drag sisters.,3,12,Drag Race
Make Dat Money,8.1,The dolls break the bank as they perform in a pageant of dresses made out of money.,3,13,Drag Race
RuPaul Rewind,7.0,"Take a look back at the highlights, low-lights and previously unseen footage from the first 12 episodes as we race toward the climactic grand finale.",3,14,Drag Race
Grand Finale,8.0,"The remaining three queens face their final challenge when they're asked to transform into video vixens for the music video to Ru's latest single, ""Champion.""",3,15,Drag Race
Reunited!,7.6,Wigs fly as the queens return to discuss the drama of the season.,3,16,Drag Race
RuPocalypse Now!,8.2,"Season 4 premieres with 13 new queens competing to become America's Next Drag Superstar, but first they must survive drag zombies and the end of the world.",4,1,Drag Race
WTF!: Wrestling's Trashiest Fighters,7.7,The dolls enter the world of ladies wrestling as the competition moves to the ring.,4,2,Drag Race
Glamazons vs. Champions,7.8,The queens team up to create commercials for RuPaul's albums Glamazon & Champion.,4,3,Drag Race
Queens Behind Bars,8.1,"The dolls go to jail when they star in a sitcom acting challenge, ""Hot in Tuckaho,"" coached by ""Will & Grace"" co-creator Max Mutchnick.",4,4,Drag Race
Snatch Game,8.7,The queens compete in a star-studded TV game show featuring their most fabulous & funny celebrity impersonations. With extra special guest judges comedian Ross Mathews & original Dreamgirl Loretta Devine.,4,5,Drag Race
Float Your Boat,8.0,The dolls design ship-shaped parade floats for a pride-filled runway extravaganza. With extra special guest judges Kelly Osbourne and NCIS' Pauley Perrette.,4,6,Drag Race
Dragazines,7.5,The queens turn the publishing industry on its wig as they launch their own magazines. With Extra special guest judges actress Regina King and country legend Pam Tillis.,4,7,Drag Race
Frenemies,8.6,"Paired up with their best ""frenemies,"" the dolls struggle through their differences to pull off live runway duets.",4,8,Drag Race
Frock the Vote!,7.8,The queens campaign and debate as they vie to become the 2012 Wig Party candidate.,4,9,Drag Race
DILFs: Dads I'd Like to Frock,7.9,The queens are paired up with sexy dads for a drag runway makeover. With extra special guest judges Jesse Tyler Ferguson & Jennifer Love Hewitt.,4,10,Drag Race
The Fabulous B*tch Ball,8.2,"The race goes to the dogs, when the queens compete in a pageant of canine inspired couture. With extra special guest judges Wynonna Judd and Rose McGowan.",4,11,Drag Race
RuPaul Rewind,7.1,"A look back on the highlights, low-lights, and previously unseen footage from season four.",4,12,Drag Race
The Final Three,8.1,The competition reaches epic proportions as the top 3 queens compete in their final challenge starring in the music video for RuPaul's hit Glamazon. With choreographer Candis Cayne.,4,13,Drag Race
Reunion,8.4,"RuPaul and the contestants of season four return for the annual reunion. For the first time, a live audience of fans are present.",4,14,Drag Race
RuPaullywood or Bust,8.0,"In the this season five premiere, fourteen new drag queens compete for the title of America's Next Drag Superstar with a prize package including a life time supply of Color Evolution cosmetics, a one of a kind trip courtesy of ALandCHUCK.travel, headline Logo's Drag Race tour featuring Absolut Vodka cocktails perfected, and $100,000. In the mini challenge, they have an ""underwater serving glamor"" photo shoot. In the main challenge, they dumpster dive for materials to create an ""award winning look that screams Hollywood red carpet couture"" to wear on the runway.",5,1,Drag Race
Lip Synch Extravaganza Eleganza,8.0,"With one queen down, the contestants must lip sync to three of RuPaul's hit songs in the mini challenge. For the main challenge, they split into three teams to lip sync to ""classic moments"" from ""RuPaul's Drag Race: Untucked!"" On the main stage, the queens come out ""dressed to impress.""",5,2,Drag Race
Draggle Rock,7.8,"In the mini challenge, the queens partner up to dress up blank mannequins for the ""Miss Junior Drag Superstar Pageant."" For the main challenge, they're split into two teams and must transform themselves into ""lovable, eccentric characters"" and write the material for their own kidster TV show. On the main stage, they are instructed to come down the runway tickled pink.",5,3,Drag Race
Black Swan: Why It Gotta Be Black?,8.3,"In the mini challenge, the queens compete in a ""Soul Train"" style dance off to see who the two best dancers are. For the main challenge, they split into two teams and perform two acts of an original American drag ballet called ""No RuPaulogies"" which tracks the highs and lows of RuPaul's life and career. On the main stage, six of the contestants are asked which queen deserves to go home.",5,4,Drag Race
Snatch Game,8.4,"In the mini challenge, the remaining nine queens must turn snuggies into something red carpet worthy to see ""who wore it best"" (like US Weekly magazine does). For the main challenge, they compete in a ""Match Game"" style game show where they must pull off their best and funniest celebrity impersonations. On the main stage, they are instructed to serve their own girlish glamor on the runway aka ""deadliest snatch.""",5,5,Drag Race
Can I Get an Amen?,8.2,"In the mini challenge, the queens must put their makeup on in complete darkness. The winner splits them into three teams for the main challenge which is to write and record a video for RuPaul's new inspirational anthem ""Can I Get an Amen?"" On the main stage, the queens must put a look together for the runway that shows off their favorite body part.",5,6,Drag Race
RuPaul Roast,9.1,"For the mini challenge, the library is open! After they ""read"" each other, the winner decides the order of presenters for the main challenge: the contestants must write and perform in a ""roast"" of RuPaul (plus the other judges and contestants) in front of a live audience. On the main stage, the queens must hit the runway decked out in their swankiest cocktail attire.",5,7,Drag Race
Scent of a Drag Queen,8.3,"In the mini challenge, the queens play ""Whatcha Packin'?"" (memory) with 20+ male models' underwear. The winner receives a phone call home. In this week's main challenge, the queens create and market their own signature fragrance. They must come up with the scent, the name, the packaging, and film a commercial for it. On the main stage, the queens mark the runway with the scent of a drag queen while their commercials are viewed.",5,8,Drag Race
Drama Queens,8.2,"For the mini challenge, the six remaining queens must cry on cue. The two winners become team captains and select their cast mates for the main challenge. They star in two separate telenovela style soap operas with Wilmer Valderrama. On the main stage, ""category is Latina glamarosa extravaganza"" where the telenovelas are viewed. Even though they worked as teams, the contestants are judged as individuals.",5,9,Drag Race
Super Troopers,8.3,"The dolls get patriotic, as they are paired up with gay veterans for a drag runway makeover. With guest judges What Not to Wear's Clinton Kelly and Fashion Police's George Kotsiopoulos.",5,10,Drag Race
Sugar Ball,8.5,"The contestants have a ""good old fashion bitch-fest"" with puppets for the mini challenge where each queen drags up a puppet likeness of one of their competitors. For the main challenge, they throw a Sugar Ball where they must construct three different luscious looks: ""Super Duper Sweet 16"" (teenage party girl), ""Sugar Mama Executive Realness,"" and ""Candy Couture"" (edible eleganza). If that wasn't enough, they're later told that they must perform a ""sugar babies opening number"" where the winner of the mini challenge is in charge of the choreography.",5,11,Drag Race
"The Final Three, Hunty",8.2,"The top 3 queens go to court, as Judge Ru presents their final challenge - starring in the music video for RuPaul's hit The Beginning.",5,12,Drag Race
Countdown to the Crown,7.0,"In this season five recap, RuPaul hosts in a newscast style. Up first is a look at the queens who ""sashayed away."" Next, the season long feud between two pageant queens is recapped. Contestant outtakes from the RuPaul Roast episode are shown. Three previous season four queens show us heartwarming moments, answer questions, and share about winning the crown. Guest judge outtakes are shown. A refresher in drag linguistics is given. Fashion do's and don'ts are examined. The first ever Ru on Ru interview introduces the lost ""Untucked"" episode from ""The Final Three, Hunty....",5,13,Drag Race
Reunited!,8.4,"In this finale of season five, the entire cast is reunited. A group performance kicks it all off. RuPaul interviews all the contestants and gives a lesson in ""Drag Race Herstory."" There's a short performance by underwear models, the contestants answer viewer questions, and the crowning of this season's Miss Congeniality all before the winner of ""America's Next Drag Superstar"" is announced.",5,14,Drag Race
RuPaul's Big Opening: Part 1,8.1,Season 6 premieres with 14 new queens competing to become America's Next Drag Superstar. But first they must face a death-defying photoshoot. With guest judge Adam Lambert and photographer Mike Ruiz.,6,1,Drag Race
RuPaul's Big Opening: Part 2,8.4,The queens are challenged to create party-themed couture for a runway face-off. With guest judge Khloe Kardashian.,6,2,Drag Race
Scream Queens,8.3,"The queens put the ""fear"" in ""fierce"" as they act in a drag horror movie franchise. With guest judges Lena Headey (Game Of Thrones) and Linda Blair (The Exorcist).",6,3,Drag Race
Shade: The Rusical,8.8,"The queens enter the world of musical theater. With guest judges composer Lucian Piane, and Sheryl Lee Ralph (Dream Girls).",6,4,Drag Race
Snatch Game,9.2,"Just when you thought you knew what to expect from RuPaul's Drag Race, along comes the ferociously fabulous and funny season six, with enough tricks up its silk chiffon sleeve to keep you on your painted toes!",6,5,Drag Race
Oh No She Betta Don't!,8.4,"The library is open for the mini challenge (read the queens). The winner picks team members for the main challenge: write & perform in a 90s style rap video. On the runway, they show off their favorite body part in ""crazysexycool"" outfits.",6,6,Drag Race
Glamazon by Colorevolution,7.9,"The queens book a big cosmetics gig, selling RuPaul's new makeup line. With guest judges Leah Remini (The King of Queens) and Lainie Kazan (My Big Fat Greek Wedding).",6,7,Drag Race
Drag Queens of Comedy,8.9,The queens must write and perform a stand-up comedy routine in front of a live audience. With guest judges Jaime Pressly (My Name Is Earl) and comedy writer Bruce Vilanch.,6,8,Drag Race
Queens of Talk,7.9,"The contestants play a game of ""Hungman"" in the mini challenge. For the main challenge, they host a talk show (à la The RuPaul Show (1997)) and interview special guests. They hit the runway in their own ""animal kingdom couture.""",6,9,Drag Race
Drag My Wedding,8.1,"The contestants do abstract painting in honor of marriage equality using their bodies as the paintbrushes in the mini challenge. For the main challenge, they transform grooms into brides for a wedding.",6,10,Drag Race
Glitter Ball,7.7,"The contestants do therapeutic role playing with puppets in the mini challenge. For the main challenge, they create 3 distinct looks (banjee girl bling, platinum card executive realness, & dripping in jewels eleganza) for a glitter ball.",6,11,Drag Race
Sissy That Walk!,8.4,"The final four queens compete in the final challenge. They star in the music video for RuPaul's hit song ""Sissy That Walk"" which includes dancing and two acting scenes. They walk their last runway and receive their final critiques.",6,12,Drag Race
Countdown to the Crown,7.5,"A look back on the highlights, low-lights, and previously unseen footage as we race toward the climactic crowning of America's Next Drag Superstar.",6,13,Drag Race
The Finale,8.9,"The cast is reunited. RuPaul interviews the contestants and gives a lesson in ""Drag Herstory 101."" The queens answer fan questions, Miss Congeniality is announced, the winner is revealed, plus a few surprises.",6,14,Drag Race
Born Naked,7.7,"14 new queens compete for the title of America's Next Drag Superstar. For the first challenge, they model two of their very best looks (spring/fall). On the main stage, they create resort-wear looks that tear away to reveal a nude illusion.",7,1,Drag Race
Glamazonian Airways,7.8,"The queens give face, face, face while being hit with leaf blowers in the mini challenge. On the main stage, they perform a live choreographed lip sync of a pre-flight safety video then walk the runway in ""jet set eleganza.""",7,2,Drag Race
ShakesQueer,7.4,"The queens get into granny drag and dance for the mini challenge. The two best become team captains for the main challenge where they act in comedic adaptations of Shakespeare classics. On the runway category is ""Bearded and Beautiful.""",7,3,Drag Race
Spoof! (There It Is),7.1,"For the main challenge, the queens must rewrite lyrics, record vocals, and shoot their own music video for RuPaul song parodies. On the main stage, they walk the runway in ""all green eleganza.""",7,4,Drag Race
The DESPY Awards,7.8,"In the mini challenge, the queens create paper versions of classic celebrity red carpet outfits. The two best are made team captains for the main challenge: write jokes take jabs at the other queens as presenters at a glitzy awards show.",7,5,Drag Race
Ru Hollywood Stories,7.6,"After the girls play ""Monster In His Pants"" with the Pit Crew, they reenact ""Whatever Happened To Merle Ginsberg?"" in groups of three, portraying Merle, RuPaul, and Michelle Visage, before strutting the runway in their ""Death Becomes Her"" looks.",7,6,Drag Race
Snatch Game,8.3,"The queens impersonate celebrities in fan favorite Snatch Game. Two contestants plan on portraying the same person. Another one contemplates doing risky ""male drag."" On the main stage, they walk the runway in ""leather and lace.""",7,7,Drag Race
Conjoined Queens,8.2,"In the mini challenge, contestants drag up prison uniforms for the ""Tuckahoe Prison Fashion Show."" On the main stage, they walk the runway conjoined to former rivals. The eliminated queen in the winning pair returns to the competition.",7,8,Drag Race
Divine Inspiration,8.0,"The queens ""read"" each other in the mini challenge. For the main challenge, they screen test in musical versions of scenes from John Waters' most iconic films. They walk the runway in the ""ugliest dress ever.""",7,9,Drag Race
Prancing Queens,7.9,"The queens give themselves ""plastic surgery"" in the mini challenge and shoot a title sequence for the ""Fake Housewives of RuPaul's Drag Race."" For the main challenge, they perform in a live dance spectacular in half-man half-queen drag.",7,10,Drag Race
"Hello, Kitty Girls!",7.5,"The top five contestants drag up puppets in the likeness of their competitors in the mini challenge. For the main challenge, the queens create a new BFF for Hello Kitty. On the main stage, they walk the runway in Hello Kitty themed couture.",7,11,Drag Race
And the Rest Is a Drag,7.5,"The top four contestants appear in a music video for RuPaul's song ""Born Naked"" for their final challenge.",7,12,Drag Race
Countdown to the Crown,7.1,"Take a look back in this season seven recap with various countdowns, previously unseen footage, and special guests. The top three contestants are examined and the world premiere of RuPaul's music video for ""Born Naked"" is shown.",7,13,Drag Race
Grand Finale,7.7,"Wigs fly as the queens discuss the drama of season seven. Miss Congeniality is announced. This season's winner of the title of ""America's Next Drag Superstar"" is crowned.",7,14,Drag Race
Keeping It 100,8.3,The 100th queen competes to become America's Drag Superstar; the queens create outfits from a legendary design challenge that appeared in a past season; guest judge Nicole Richie.,8,1,Drag Race
Bitch Perfect,8.2,"The queens perform in a collegiate a cappella sing-off; guest judges Ester Dean of ""Pitch Perfect,"" choreographer Jamal Sims and RuPaul's music producer Lucian Piane.",8,2,Drag Race
RuCo's Empire,7.9,The queens get their Cookie on in two Empire-inspired scenes; guest judges Tasha Smith and singer-songwriter Faith Evans.,8,3,Drag Race
New Wave Queens,7.7,"The queens have to sing live in 80s style New Wave girl bands. Blondie's Debbie Harry and Chris Stein guest judge, plus RuPaul's music producer Lucian Piane.",8,4,Drag Race
Supermodel Snatch Game,7.4,"The queens impersonate celebrities in a quick-witted TV game show, and dress in iconic Madonna looks for the runway. With supermodel guest judges Gigi Hadid and Chanel Iman.",8,5,Drag Race
Wizards of Drag,7.6,The queens give cast members of Little Women: LA drag makeovers in the style of The Wizard of Oz. Fashion designer Marc Jacobs and singer-songwriter Todrick Hall guest judge.,8,6,Drag Race
Shady Politics,7.7,"The queens shoot shady presidential campaign ads, throwing their wigs in the ring to become the first drag president of the USA. Vivica A. Fox (Independence Day: Resurgence) and MSNBC Live news anchor Thomas Roberts guest judge.",8,7,Drag Race
RuPaul Book Ball,7.9,"The queens compete in a pageant of book inspired couture, and perform a musical tribute to Jerri Blank from Strangers With Candy. Siblings Amy Sedaris and David Sedaris guest judge.",8,8,Drag Race
The Realness,7.8,"The queens compete in their final challenge, starring in the music video for RuPaul's hit ""The Realness""; Michelle Visage, Carson Kressley and Ross Mathews judge.",8,9,Drag Race
Grand Finale,7.9,"The queens discuss the drama of season eight. Miss Congeniality is announced. This season's winner of the title of ""America's Next Drag Superstar"" is crowned.",8,10,Drag Race
Oh. My. Gaga!,8.8,The queens walk into the workroom for the first time; Lady Gaga guest judges; Queens must perform in an epic pageant in which they style their fashionable hometown and Lady Gaga looks.,9,1,Drag Race
She Done Already Done Brought It On,7.3,Lisa Kudrow visits; the queens must perform in an epic cheer battle; the B-52's guest judge.,9,2,Drag Race
Draggily Ever After,7.4,"The queens must create fairytale drag princesses, and transform themselves into sassy sidekicks. With guest judges Todrick Hall and Cheyenne Jackson (American Horror Story).",9,3,Drag Race
Good Morning Bitches,7.8,The queens join the cutthroat Morning Talk Show wars. Naya Rivera (Glee) and Jeffrey Bowyer-Chapman (UnREAL) guest judge.,9,4,Drag Race
Reality Stars: The Musical,7.9,The queens are tasked with doing a lipsync performance of Kardashian: The Musical. Guest judges include Meghan Trainor and Todrick Hall.,9,5,Drag Race
Snatch Game,7.8,The queens impersonate celebrities in a quick-witted TV game show. With guest judges Candis Cayne and Denis O'Hare.,9,6,Drag Race
9021-HO,7.7,"The queens act in a classic 90s high school drama, directed by original Beverly Hills 90210 stars Tori Spelling and Jennie Garth.",9,7,Drag Race
RuPaul Roast,7.9,"This week, the queens roast Michelle Visage, in addition to guest judges Fortune Fiemster and Tamar Braxton.",9,8,Drag Race
Your Pilot's on Fire,8.3,"The queens create, write and star in their own TV pilots. Noah Galvin (The Real O'Neals) and QVC queen Lisa Robertson guest judge.",9,9,Drag Race
Makeovers: Crew Better Work,8.7,"The queens make over members of the ""Drag Race"" crew; singer Kesha and gown designer Zaldy guest judge.",9,10,Drag Race
Gayest Ball Ever,7.8,"The queens compete in a queer culture pageant, and design outfits inspired by the Village People. Actress Andie MacDowell (Groundhog Day) and supermodel Joan Smalls guest judge.",9,11,Drag Race
Category Is,8.2,"The queens must write and perform a rap on RuPaul's new hit single, and guest RuPaul's podcast with Michelle Visage. Style superstar Carson Kressley and the hilarious Ross Matthews guest judge.",9,12,Drag Race
Reunited,8.6,"One week away from the finale, the contestants gather around to discuss the season's biggest moments. All T, All Shade.",9,13,Drag Race
Grand Finale,9.2,"In an epic, show-stopping finale, RuPaul crowns America's Next Drag Superstar.",9,14,Drag Race
Queens Ruveal,7.3,"An introduction to the new queens, hosted by Sasha Velour.",10,0,Drag Race
10s Across the Board,8.2,Fourteen queens compete in a recreation of the very first challenge in RuPaul's Drag Race history; Christina Aguilera guest judges.,10,1,Drag Race
PharmaRusical,7.5,"The remaining queens perform a two-team, two-part performance of PharmaRusical.",10,2,Drag Race
Tap That App,7.6,"In this challenge, Rupaul separates the queens into three groups, each with a different fictional dating app to promote; Courtney Love and Nico Tortorella guest judge.",10,3,Drag Race
The Last Ball on Earth,8.2,"In the first Ball challenge of the season, the queens construct three looks inspired by the effects of global warming on society and the environment.",10,4,Drag Race
The Bossy Rossy Show,7.7,"In a mock talk-show, the queens compete and play out different talk-show archetypes; Carrie Preston and Shania Twain guest judge.",10,5,Drag Race
DragCon Panel Extravaganza,7.7,"The queens have to produce and host their very own Drag Con panels on Makeup, Hair and Body. Husband and wife duo behind the Oscar nominated film, The Big Sick, Kumail Nanjiani and Emily Gordon guest judge.",10,6,Drag Race
Snatch Game,8.2,The queens tackle their season's Snatch Game.,10,7,Drag Race
Cher: The Unauthorized Rusical,8.0,"In ""Cher: The Unauthorized Rusical"" the queens sing live in a musical about Cher's decade spanning career; Billy Eichner and Andrew Rannells guest judge.",10,8,Drag Race
Breastworld,7.0,"""Broad City"" stars Ilana Glazer and Abbi Jacobson guest judge on this week's episode. A parody of ""Westworld"" and the acting challenge of season ten.",10,9,Drag Race
Social Media Kings Into Queens,8.5,"The queens makeover social media ""kings into their drag sisters, as well as take part in a home-made music video. Hip hop artist Lizzo and star of 13 Reasons Why, Miles Heizer guest judge.",10,10,Drag Race
Evil Twins,5.7,"The top five queens must present two sides of themselves in a ball, a good twin and an evil twin.",10,11,Drag Race
American,7.9,"The queens record verses to Rupaul's track ""American"", perform it on the main stage and be interviewed by Rupaul and Michelle Visage for their podcast to decide who will go on to the finale; choreographer Todrick Hall guest judges.",10,12,Drag Race
Reunited,8.1,"Before the winner of season ten is crowned, the queens return to spill the tea.",10,13,Drag Race
Grand Finale,7.5,The winner of Rupaul's Drag Race season ten is crowned after winning the second ever lip sync for the crown.,10,14,Drag Race
Whatcha Unpackin?,7.7,"Miley Cyrus goes undercover in the workroom to spy on the new cast of queens competing for $100,000; the first test is to create signature looks from materials belonging to former Drag Race legends.",11,1,Drag Race
"Good God Girl, Get Out",8.2,"After a quick-drag photobomb photoshoot with Mama Ru, the queens divide into teams to compete in parody sketches of ""Get Out"" and ""Black Panther."" On the runway, category is Zodiac Couture.",11,2,Drag Race
Diva Worship,7.9,The queens put their pop icon knowledge to the test when the have to perform in live diva worship talk shows. Singer/ actor Troye Sivan and actor Guillermo Diaz guest judge.,11,3,Drag Race
Trump: The Rusical,7.3,"The queens get political in a ""Grease"" inspired musical set in the ""Trump School For Girls"". Rachel Maddow makes a guest appearance, while Tiffany ""New York"" Pollard and Joel McHale guest judge.",11,4,Drag Race
Monster Ball,7.3,The queens compete in a spooky pageant of monster inspired couture and showcase three Halloween inspired looks. Supermodel Cara Delevingne and pop culture icon Elvira guest judge.,11,5,Drag Race
The Draglympics,6.5,The queens get physical in the 69th International Draglympics. Choreographer Travis Wall and Olympian figure skaters Mirai Nagasu and Adam Rippon guest judge. Camp aerobicise queen Love Connie makes a guest appearance.,11,6,Drag Race
From Farm to Runway,7.7,The queens use organic ingredients to create sickening but sustainable high fashion looks. Supermodel Amber Valletta and reality star Kandi Burruss guest judge. Drag queen Alyssa Edwards makes a guest appearance.,11,7,Drag Race
Snatch Game at Sea,8.3,The queens compete in a nautical-themed version of the legendary Snatch Game. Veep co-stars Tony Hale and Clea DuVall guest judge. Drag queen Jinkx Monsoon makes a guest appearance.,11,8,Drag Race
L.A.D.P.!,7.3,"The queens clash with the law in the hit TV series ""Los Angeles Drag Patrol"". Natasha Lyonne (Russian Doll), Cheyenne Jackson (American Horror Story) and Fortune Feimster (The Mindy Project) guest judge.",11,9,Drag Race
Dragracadabra,6.6,The queens must razzle and dazzle in their very own magic show. Gina Rodriguez (Jane the Virgin) and Katherine Langford (13 Reasons Why) guest judge.,11,10,Drag Race
Bring Back My Queens!,4.7,"The queens makeover returning queens, transforming them into a member of their own drag family. Lena Waithe (The Chi) and comedian Wanda Sykes guest judge.",11,11,Drag Race
Queens Everywhere,7.1,"The queens must write and record a verse in a performance of RuPaul's hit single ""Queens Everywhere,"" and guest on RuPaul's podcast with Michelle Visage. Choreographer Todrick Hall, style superstar Carson Kressley and the hilarious Ross Mathews guest judge.",11,12,Drag Race
Reunited,7.0,The Queens reunite to talk about what happened during the season.,11,13,Drag Race
Grand Finale,8.2,The top 4 Queens lipsync for the crown in a Lipsync Smackdown. RuPaul crowns America's Next Drag Superstar.,11,14,Drag Race
I'm That Bitch,9.0,13 Queens battle it out in a reality competition to be America's Next Drag Superstar.,12,1,Drag Race
You Don't Know Me,7.8,12 Queens battle it out in a reality competition to be America's Next Drag Superstar.,12,2,Drag Race
World's Worst,5.8,"For the first time this season, someone will sashay away! The queens must flex their comedy improv skills for the new TV show ""World's Worst"" - a talent show for people with little talent. Olivia Munn (X-Men: Apocalypse) guest judges.",12,3,Drag Race
The Ball Ball,6.9,"The queens' creativity comes to life when they compete in a pageant of sports-inspired couture and strutting the runway in three ""ball-themed"" looks. Leslie Jones ""Saturday Night Live"" guest judges.",12,4,Drag Race
Gay's Anatomy,7.6,"11 Queens battle it out in a reality competition to be America's Next Drag Superstar. The queens are challenged to take part in TV's longest-running drag queen scripted show, ""Gay's Anatomy."" Pop superstar, Normani guest judges.",12,5,Drag Race
Snatch Game,8.4,The queens compete in the legendary Snatch Game; Jonathan Bennett and Daniel Franzese guest judge; Drag queen Miss Vanjie makes a guest appearance.,12,6,Drag Race
Madonna: The Unauthorized Rusical,8.9,The queens get into the groove in a Queen of Pop-inspired musical.,12,7,Drag Race
Droop,7.5,"The queens must create and market ridiculously extravagant products, for the new drag queen lifestyle brand ""Droop.""",12,8,Drag Race
Choices 2020,7.7,It's time for America's first drag queen president. The queens argue in a fabulous presidential debate. Actors Jeff Goldblum (Jurassic Park) and Rachel Bloom (Crazy Ex-Girlfriend) guest judge,12,9,Drag Race
Superfan Makeover,8.8,The queens must makeover Drag Race superfans. But there's one thing... the superfans have no idea what's about to happen to them. Actress Daisy Ridley (Star Wars) guest judges.,12,10,Drag Race
One-Queen Show,8.4,The queens must create and perform their own solo show. Whoopi Goldberg (The View; Ghost) coaches the queens and guest judges.,12,11,Drag Race
